,Jogador,Campeonato,Rodada,Data,Mandante,Oponente,Posição,Minuto,Tipo,Assistido por
1265,Messi,LaLiga,Group Stage,2019-11-09,H,Celta de Vigo  ,RW ,23,Penalty,
1268,Messi,Champions League,Group Stage,2019-11-27,H,Bor. Dortmund,RW ,33,Left-footed shot,Luis Suárez
1269,Messi,LaLiga,Group Stage,2019-12-01,A,Atlético Madrid  ,RW ,86,Left-footed shot,Luis Suárez
1270,Messi,LaLiga,Group Stage,2019-12-07,H,RCD Mallorca  ,RW ,17,Left-footed shot,Antoine Griezmann
1273,Messi,LaLiga,Group Stage,2019-12-21,H,Alavés  ,RW ,69,Left-footed shot,Luis Suárez
1274,Messi,Supercopa,Semi-Finals,2020-01-09,H,Atlético Madrid,RW ,51,Right-footed shot,Luis Suárez
1275,Messi,LaLiga,Group Stage,2020-01-19,H,Granada CF  ,CF ,76,Right-footed shot,Arturo Vidal
1276,Messi,Copa del Rey,Round of 16,2020-01-30,H,CD Leganés,RW ,59,Left-footed shot,Frenkie de Jong
1278,Messi,LaLiga,Group Stage,2020-02-22,H,SD Eibar  ,SS ,14,Left-footed shot,Ivan Rakitic
1282,Messi,LaLiga,Group Stage,2020-03-07,H,Real Sociedad  ,CF ,81,Penalty,
1283,Messi,LaLiga,Group Stage,2020-06-13,A,RCD Mallorca  ,RW ,93,Right-footed shot,Luis Suárez
1284,Messi,LaLiga,Group Stage,2020-06-16,H,CD Leganés  ,RW ,69,Penalty,
1285,Messi,LaLiga,Group Stage,2020-06-30,H,Atlético Madrid  ,SS ,50,Penalty,
1286,Messi,LaLiga,Group Stage,2020-07-16,H,CA Osasuna  ,RW ,62,Direct free kick,
1287,Messi,LaLiga,Group Stage,2020-07-19,A,Alavés  ,RW ,34,Left-footed shot,Riqui Puig
1289,Messi,Champions League,Round of 16,2020-08-08,H,SSC Napoli,SS ,23,Left-footed shot,
1290,Messi,LaLiga,Group Stage,2020-09-27,H,Villarreal  ,CF ,35,Penalty,
1291,Messi,Champions League,Group Stage,2020-10-20,H,Ferencváros,CF ,27,Penalty,
1292,Messi,Champions League,Group Stage,2020-10-28,A,Juventus,CF ,91,Penalty,
1293,Messi,Champions League,Group Stage,2020-11-04,H,Dynamo Kyiv,RW ,5,Penalty,
1294,Messi,LaLiga,Group Stage,2020-11-07,H,Real Betis  ,SS,61,Penalty,
1296,Messi,LaLiga,Group Stage,2020-11-29,H,CA Osasuna  ,RW ,73,Left-footed shot,Trincão
1297,Messi,LaLiga,Group Stage,2020-12-13,H,Levante  ,CF ,76,Left-footed shot,Frenkie de Jong
1298,Messi,LaLiga,Group Stage,2020-12-19,H,Valencia  ,CF ,49,Header,
1299,Messi,LaLiga,Group Stage,2020-12-22,A,Real Valladolid  ,SS ,65,Left-footed shot,Pedri
