,Jogador,Campeonato,Rodada,Data,Mandante,Oponente,Posição,Minuto,Tipo,Assistido por
746,Messi,Copa del Rey,Group Stage,2009-11-10,H,CyD Leonesa,RW,64,Left-footed shot,Pedro
747,Messi,LaLiga,Group Stage,2009-12-05,A,Dep. La Coruña  ,RW,26,Left-footed shot,Dani Alves
749,Messi,Champions League,Group Stage,2009-12-09,A,Dynamo Kyiv,RW,86,Direct free kick,
750,Messi,Club World Cup,Semi-Finals,2009-12-16,A,Atlante,RW,55,Left-footed shot,Zlatan Ibrahimovic
751,Messi,Club World Cup,Final,2009-12-19,A,Estudiantes,RW,110,Chest,Dani Alves
752,Messi,LaLiga,Group Stage,2010-01-10,A,CD Tenerife  ,RW,36,Left-footed shot,Bojan Krkic
755,Messi,LaLiga,Group Stage,2010-01-16,H,Sevilla FC  ,RW,85,Left-footed shot,Dani Alves
757,Messi,LaLiga,Group Stage,2010-01-23,A,Real Valladolid  ,RW,54,Left-footed shot,Zlatan Ibrahimovic
758,Messi,LaLiga,Group Stage,2010-02-06,H,Getafe  ,RW,7,Left-footed shot,Yaya Touré
759,Messi,LaLiga,Group Stage,2010-02-27,H,Málaga CF  ,RW,84,Right-footed shot,Dani Alves
760,Messi,LaLiga,Group Stage,2010-03-06,A,UD Almería  ,RW,42,Direct free kick,
762,Messi,LaLiga,Group Stage,2010-03-14,H,Valencia  ,CF,56,Left-footed shot,Xavi
765,Messi,Champions League,Round of 16,2010-03-17,H,VfB Stuttgart,RW,13,Left-footed shot,Yaya Touré
767,Messi,LaLiga,Group Stage,2010-03-21,A,Real Zaragoza  ,RW,4,Header,Pedro
770,Messi,LaLiga,Group Stage,2010-04-03,H,Athletic  ,CF,67,Left-footed shot,Pedro
771,Messi,Champions League,Quarter-Finals,2010-04-06,H,Arsenal,RW,21,Left-footed shot,
775,Messi,LaLiga,Group Stage,2010-04-10,A,Real Madrid  ,CF,32,Right-footed shot,Xavi
776,Messi,LaLiga,Group Stage,2010-05-01,A,Villarreal  ,RW,18,Left-footed shot,Xavi
778,Messi,LaLiga,Group Stage,2010-05-04,H,CD Tenerife  ,RW,16,Right-footed shot,
780,Messi,LaLiga,Group Stage,2010-05-08,A,Sevilla FC  ,RW,5,Left-footed shot,Maxwell
781,Messi,LaLiga,Group Stage,2010-05-16,H,Real Valladolid  ,RW,61,Right-footed shot,Yaya Touré
783,Messi,Supercopa,Final,2010-08-21,H,Sevilla FC,RW,25,Left-footed shot,Xavi
786,Messi,LaLiga,Group Stage,2010-08-29,A,Racing  ,RW,3,Left-footed shot,Andrés Iniesta
787,Messi,Champions League,Group Stage,2010-09-14,H,Panathinaikos,CF,22,Left-footed shot,Xavi
789,Messi,LaLiga,Group Stage,2010-09-19,A,Atlético Madrid  ,CF,12,Left-footed shot,Pedro
790,Messi,LaLiga,Group Stage,2010-10-03,H,RCD Mallorca  ,CF,20,Left-footed shot,Pedro
791,Messi,Champions League,Group Stage,2010-10-20,H,FC Copenhagen,CF,18,Left-footed shot,Andrés Iniesta
793,Messi,LaLiga,Group Stage,2010-10-23,A,Real Zaragoza  ,CF,41,Left-footed shot,David Villa
795,Messi,LaLiga,Group Stage,2010-10-30,H,Sevilla FC  ,RW,4,Left-footed shot,
797,Messi,Champions League,Group Stage,2010-11-02,A,FC Copenhagen,CF,31,Right-footed shot,
798,Messi,LaLiga,Group Stage,2010-11-07,A,Getafe  ,CF,23,Left-footed shot,
799,Messi,Copa del Rey,Group Stage,2010-11-10,H,AD Ceuta ,RW,67,Left-footed shot,Thiago
800,Messi,LaLiga,Group Stage,2010-11-13,H,Villarreal  ,CF,58,Right-footed shot,Pedro
802,Messi,LaLiga,Group Stage,2010-11-20,A,UD Almería  ,CF,16,Left-footed shot,David Villa
805,Messi,Champions League,Group Stage,2010-11-24,A,Panathinaikos,CF,63,Left-footed shot,Adriano
806,Messi,LaLiga,Group Stage,2010-12-04,A,CA Osasuna  ,CF,64,Left-footed shot,David Villa
808,Messi,LaLiga,Group Stage,2010-12-12,H,Real Sociedad  ,CF,46,Left-footed shot,Dani Alves
810,Messi,LaLiga,Group Stage,2011-01-08,A,Dep. La Coruña  ,CF,51,Direct free kick,
811,Messi,Copa del Rey,Quarter-Finals,2011-01-12,H,Real Betis,CF,44,Left-footed shot,Andrés Iniesta
814,Messi,Copa del Rey,Quarter-Finals,2011-01-19,A,Real Betis,RW,37,Left-footed shot,Xavi
815,Messi,LaLiga,Group Stage,2011-01-22,H,Racing  ,CF,33,Penalty,
816,Messi,Copa del Rey,Semi-Finals,2011-01-26,H,UD Almería,CF,9,Left-footed shot,Pedro
818,Messi,LaLiga,Group Stage,2011-01-29,A,Hércules CF  ,CF,87,Left-footed shot,Dani Alves
820,Messi,LaLiga,Group Stage,2011-02-05,H,Atlético Madrid  ,CF,16,Left-footed shot,Dani Alves
823,Messi,LaLiga,Group Stage,2011-02-20,H,Athletic  ,CF,78,Right-footed shot,Dani Alves
824,Messi,LaLiga,Group Stage,2011-02-26,A,RCD Mallorca  ,CF,38,Header,Seydou Keita
825,Messi,LaLiga,Group Stage,2011-03-02,A,Valencia  ,CF,77,Left-footed shot,Adriano
826,Messi,Champions League,Round of 16,2011-03-08,H,Arsenal,RW,49,Left-footed shot,Andrés Iniesta
828,Messi,LaLiga,Group Stage,2011-04-09,H,UD Almería  ,CF,52,Penalty,
830,Messi,Champions League,Quarter-Finals,2011-04-12,A,Shakhtar D.,CF,42,Left-footed shot,Dani Alves
831,Messi,LaLiga,Group Stage,2011-04-16,A,Real Madrid  ,CF,53,Penalty,
832,Messi,LaLiga,Group Stage,2011-04-23,H,CA Osasuna  ,CF,87,Right-footed shot,Dani Alves
833,Messi,Champions League,Semi-Finals,2011-04-27,A,Real Madrid,CF,76,Left-footed shot,Ibrahim Afellay
835,Messi,Champions League,Final,2011-05-28,H,Man Utd,CF,54,Left-footed shot,Andrés Iniesta
836,Messi,Supercopa,Final,2011-08-14,A,Real Madrid,CF,45,Left-footed shot,Thiago
837,Messi,Supercopa,Final,2011-08-17,H,Real Madrid,CF,44,Right-footed shot,Gerard Piqué
839,Messi,UEFA Super Cup,Final,2011-08-26,H,FC Porto,CF,39,Left-footed shot,
840,Messi,LaLiga,Group Stage,2011-08-29,H,Villarreal  ,CF,51,Right-footed shot,Andrés Iniesta
842,Messi,LaLiga,Group Stage,2011-09-17,H,CA Osasuna  ,CF,5,Left-footed shot,Dani Alves
845,Messi,LaLiga,Group Stage,2011-09-24,H,Atlético Madrid  ,CF,26,Left-footed shot,Pedro
848,Messi,Champions League,Group Stage,2011-09-28,A,BATE Borisov,CF,38,Header,
850,Messi,LaLiga,Group Stage,2011-10-15,H,Racing  ,CF,11,Right-footed shot,Andrés Iniesta
852,Messi,LaLiga,Group Stage,2011-10-29,H,RCD Mallorca  ,CF,13,Penalty,
855,Messi,Champions League,Group Stage,2011-11-01,A,Viktoria Plzen,CF,24,Penalty,
858,Messi,LaLiga,Group Stage,2011-11-06,A,Athletic  ,CF,90,Left-footed shot,
859,Messi,LaLiga,Group Stage,2011-11-19,H,Real Zaragoza  ,CF,43,Right-footed shot,Cesc Fàbregas
860,Messi,Champions League,Group Stage,2011-11-23,A,AC Milan,RW,31,Penalty,
861,Messi,LaLiga,Group Stage,2011-11-29,H,Rayo Vallecano  ,CF,49,Left-footed shot,Dani Alves
862,Messi,LaLiga,Group Stage,2011-12-03,H,Levante  ,CF,55,Left-footed shot,Dani Alves
863,Messi,Club World Cup,Final,2011-12-18,A,Santos FC,RW,17,Left-footed shot,Xavi
865,Messi,Copa del Rey,Round of 16,2012-01-04,H,CA Osasuna,CF,71,Header,Cesc Fàbregas
867,Messi,LaLiga,Group Stage,2012-01-15,H,Real Betis  ,CF,12,Right-footed shot,Alexis Sánchez
869,Messi,LaLiga,Group Stage,2012-01-22,A,Málaga CF  ,CF,32,Header,Adriano
872,Messi,LaLiga,Group Stage,2012-02-04,H,Real Sociedad  ,CF,72,Left-footed shot,Dani Alves
873,Messi,Champions League,Round of 16,2012-02-14,A,Bay. Leverkusen,CF,88,Left-footed shot,Dani Alves
874,Messi,LaLiga,Group Stage,2012-02-19,H,Valencia  ,CF,21,Left-footed shot,
878,Messi,LaLiga,Group Stage,2012-02-26,A,Atlético Madrid  ,CF,79,Direct free kick,
879,Messi,Champions League,Round of 16,2012-03-07,H,Bay. Leverkusen,CF,25,Left-footed shot,Xavi
884,Messi,LaLiga,Group Stage,2012-03-11,A,Racing  ,CF,28,Left-footed shot,Cesc Fàbregas
886,Messi,LaLiga,Group Stage,2012-03-17,A,Sevilla FC  ,CF,25,Left-footed shot,Andrés Iniesta
887,Messi,LaLiga,Group Stage,2012-03-20,H,Granada CF  ,CF,16,Left-footed shot,Isaac Cuenca
890,Messi,LaLiga,Group Stage,2012-03-24,A,RCD Mallorca  ,CF,25,Direct free kick,
891,Messi,LaLiga,Group Stage,2012-03-31,H,Athletic  ,CF,57,Penalty,
892,Messi,Champions League,Quarter-Finals,2012-04-03,H,AC Milan,RW,11,Penalty,
894,Messi,LaLiga,Group Stage,2012-04-07,A,Real Zaragoza  ,CF,39,Left-footed shot,Alexis Sánchez
896,Messi,LaLiga,Group Stage,2012-04-10,H,Getafe  ,CF,44,Left-footed shot,Andrés Iniesta
897,Messi,LaLiga,Group Stage,2012-04-14,A,Levante  ,CF,64,Left-footed shot,Alexis Sánchez
899,Messi,LaLiga,Group Stage,2012-04-29,A,Rayo Vallecano  ,CF,16,Left-footed shot,Pedro
901,Messi,LaLiga,Group Stage,2012-05-02,H,Málaga CF  ,CF,34,Penalty,
904,Messi,LaLiga,Group Stage,2012-05-05,H,Espanyol  ,CF,11,Direct free kick,
908,Messi,Copa del Rey,Final,2012-05-25,H,Athletic,CF,20,Right-footed shot,Andrés Iniesta
909,Messi,LaLiga,Group Stage,2012-08-19,H,Real Sociedad  ,CF,10,Left-footed shot,Pedro
911,Messi,Supercopa,Final,2012-08-23,H,Real Madrid,CF,60,Penalty,
912,Messi,LaLiga,Group Stage,2012-08-26,A,CA Osasuna  ,CF,74,Left-footed shot,Alexis Sánchez
914,Messi,Supercopa,Final,2012-08-29,A,Real Madrid,CF,45,Direct free kick,
915,Messi,LaLiga,Group Stage,2012-09-15,A,Getafe  ,CF,74,Penalty,
917,Messi,Champions League,Group Stage,2012-09-19,H,Spartak Moscow,CF,71,Left-footed shot,Cristian Tello
919,Messi,LaLiga,Group Stage,2012-10-07,H,Real Madrid  ,CF,31,Left-footed shot,
921,Messi,LaLiga,Group Stage,2012-10-20,A,Dep. La Coruña  ,CF,17,Left-footed shot,Cesc Fàbregas
924,Messi,LaLiga,Group Stage,2012-10-27,A,Rayo Vallecano  ,CF,48,Left-footed shot,Martín Montoya
926,Messi,Champions League,Group Stage,2012-11-07,A,Celtic,CF,91,Tap-in,
927,Messi,LaLiga,Group Stage,2012-11-11,A,RCD Mallorca  ,CF,43,Left-footed shot,Sergio Busquets
929,Messi,LaLiga,Group Stage,2012-11-17,H,Real Zaragoza  ,CF,15,Left-footed shot,Jordi Alba
931,Messi,Champions League,Group Stage,2012-11-20,A,Spartak Moscow,CF,27,Right-footed shot,
933,Messi,LaLiga,Group Stage,2012-11-25,A,Levante  ,CF,46,Left-footed shot,Andrés Iniesta
935,Messi,LaLiga,Group Stage,2012-12-01,H,Athletic  ,CF,24,Left-footed shot,Xavi
937,Messi,LaLiga,Group Stage,2012-12-09,A,Real Betis  ,CF,16,Left-footed shot,Andrés Iniesta
939,Messi,Copa del Rey,Round of 16,2012-12-12,A,Córdoba CF,CF,10,Left-footed shot,David Villa
941,Messi,LaLiga,Group Stage,2012-12-16,H,Atlético Madrid  ,CF,58,Left-footed shot,Alexis Sánchez
943,Messi,LaLiga,Group Stage,2012-12-22,A,Real Valladolid  ,CF,59,Left-footed shot,Xavi
944,Messi,LaLiga,Group Stage,2013-01-06,H,Espanyol  ,CF,28,Penalty,
945,Messi,LaLiga,Group Stage,2013-01-13,A,Málaga CF  ,CF,26,Right-footed shot,
946,Messi,Copa del Rey,Quarter-Finals,2013-01-16,H,Málaga CF,CF,29,Left-footed shot,
947,Messi,LaLiga,Group Stage,2013-01-19,A,Real Sociedad  ,CF,6,Left-footed shot,Andrés Iniesta
948,Messi,Copa del Rey,Quarter-Finals,2013-01-24,A,Málaga CF,CF,79,Header,Dani Alves
949,Messi,LaLiga,Group Stage,2013-01-27,H,CA Osasuna  ,CF,11,Right-footed shot,Xavi
953,Messi,LaLiga,Group Stage,2013-02-03,A,Valencia  ,CF,39,Penalty,
954,Messi,LaLiga,Group Stage,2013-02-10,H,Getafe  ,CF,13,Left-footed shot,Thiago
955,Messi,LaLiga,Group Stage,2013-02-16,A,Granada CF  ,CF,49,Left-footed shot,
957,Messi,LaLiga,Group Stage,2013-02-23,H,Sevilla FC  ,CF,60,Left-footed shot,Cristian Tello
958,Messi,LaLiga,Group Stage,2013-03-02,A,Real Madrid  ,CF,18,Left-footed shot,Dani Alves
959,Messi,LaLiga,Group Stage,2013-03-09,H,Dep. La Coruña  ,CF,88,Left-footed shot,Alexis Sánchez
960,Messi,Champions League,Round of 16,2013-03-12,H,AC Milan,CF,5,Left-footed shot,Xavi
962,Messi,LaLiga,Group Stage,2013-03-17,H,Rayo Vallecano  ,CF,40,Left-footed shot,David Villa
964,Messi,LaLiga,Group Stage,2013-03-30,A,Celta de Vigo  ,CF ,73,Left-footed shot,Cristian Tello
965,Messi,Champions League,Quarter-Finals,2013-04-02,A,Paris SG,CF,38,Left-footed shot,Dani Alves
966,Messi,LaLiga,Group Stage,2013-04-27,A,Athletic  ,CF,67,Left-footed shot,Thiago
967,Messi,LaLiga,Group Stage,2013-05-05,H,Real Betis  ,CF,60,Direct free kick,
969,Messi,LaLiga,Group Stage,2013-08-18,H,Levante  ,CF,13,Left-footed shot,Pedro
971,Messi,LaLiga,Group Stage,2013-09-01,A,Valencia  ,CF,11,Left-footed shot,Cesc Fàbregas
974,Messi,LaLiga,Group Stage,2013-09-14,H,Sevilla FC  ,CF,75,Left-footed shot,Neymar
975,Messi,Champions League,Group Stage,2013-09-18,H,Ajax,CF,22,Direct free kick,
978,Messi,LaLiga,Group Stage,2013-09-24,H,Real Sociedad  ,CF,8,Header,Neymar
979,Messi,LaLiga,Group Stage,2013-09-28,A,UD Almería  ,CF,21,Left-footed shot,Pedro
980,Messi,Champions League,Group Stage,2013-10-22,A,AC Milan,CF,23,Left-footed shot,Andrés Iniesta
981,Messi,Champions League,Group Stage,2013-11-06,H,AC Milan,CF,30,Penalty,
983,Messi,Copa del Rey,Round of 16,2014-01-08,H,Getafe,CF,90,Left-footed shot,Martín Montoya
985,Messi,Copa del Rey,Round of 16,2014-01-16,A,Getafe,CF,43,Right-footed shot,Cristian Tello
987,Messi,LaLiga,Group Stage,2014-02-01,H,Valencia  ,CF,54,Penalty,
988,Messi,LaLiga,Group Stage,2014-02-09,A,Sevilla FC  ,CF,44,Left-footed shot,Pedro
990,Messi,Copa del Rey,Semi-Finals,2014-02-12,A,Real Sociedad,CF,26,Solo run,
991,Messi,LaLiga,Group Stage,2014-02-15,H,Rayo Vallecano  ,CF,36,Left-footed shot,Cesc Fàbregas
993,Messi,Champions League,Round of 16,2014-02-18,A,Man City,CF,54,Penalty,
994,Messi,LaLiga,Group Stage,2014-02-22,A,Real Sociedad  ,CF,36,Left-footed shot,Martín Montoya
995,Messi,LaLiga,Group Stage,2014-03-02,H,UD Almería  ,CF,24,Direct free kick,
996,Messi,Champions League,Round of 16,2014-03-12,H,Man City,CF,67,Left-footed shot,
997,Messi,LaLiga,Group Stage,2014-03-16,H,CA Osasuna  ,CF,18,Left-footed shot,Alexis Sánchez
1000,Messi,LaLiga,Group Stage,2014-03-23,A,Real Madrid  ,CF,42,Left-footed shot,Neymar
1003,Messi,LaLiga,Group Stage,2014-03-26,H,Celta de Vigo  ,CF,30,Right-footed shot,Andrés Iniesta
1004,Messi,LaLiga,Group Stage,2014-03-29,A,Espanyol  ,CF,77,Penalty,
1005,Messi,LaLiga,Group Stage,2014-04-05,H,Real Betis  ,CF,15,Penalty,
1007,Messi,LaLiga,Group Stage,2014-04-20,H,Athletic  ,CF,74,Direct free kick,
1008,Messi,LaLiga,Group Stage,2014-04-27,A,Villarreal  ,CF,83,Right-footed shot,Cesc Fàbregas
1009,Messi,LaLiga,Group Stage,2014-05-03,H,Getafe  ,CF,23,Left-footed shot,Dani Alves
1010,Messi,LaLiga,Group Stage,2014-08-24,H,Elche CF  ,CF,42,Left-footed shot,Sergio Busquets
1012,Messi,LaLiga,Group Stage,2014-09-21,A,Levante  ,CF,77,Right-footed shot,
1013,Messi,LaLiga,Group Stage,2014-09-27,H,Granada CF  ,CF,62,Header,Dani Alves
1015,Messi,Champions League,Group Stage,2014-09-30,A,Paris SG,RW,12,Left-footed shot,Andrés Iniesta
1016,Messi,LaLiga,Group Stage,2014-10-04,A,Rayo Vallecano  ,CF,35,Left-footed shot,Gerard Piqué
1017,Messi,LaLiga,Group Stage,2014-10-18,H,SD Eibar  ,CF,74,Left-footed shot,Neymar
1018,Messi,Champions League,Group Stage,2014-10-21,H,Ajax,CF,24,Left-footed shot,Andrés Iniesta
1019,Messi,Champions League,Group Stage,2014-11-05,A,Ajax,RW,36,Header,Marc Bartra
1021,Messi,LaLiga,Group Stage,2014-11-22,H,Sevilla FC  ,RW,21,Direct free kick,
1024,Messi,Champions League,Group Stage,2014-11-25,A,APOEL Nicosia,CF ,38,Right-footed shot,Rafinha
1027,Messi,LaLiga,Group Stage,2014-12-07,H,Espanyol  ,RW,46,Left-footed shot,Xavi
1030,Messi,Champions League,Group Stage,2014-12-10,H,Paris SG,AM,19,Right-footed shot,Luis Suárez
1031,Messi,LaLiga,Group Stage,2014-12-20,H,Córdoba CF  ,RW,82,Right-footed shot,
1033,Messi,Copa del Rey,Round of 16,2015-01-08,H,Elche CF,RW ,45,Penalty,
1034,Messi,LaLiga,Group Stage,2015-01-11,H,Atlético Madrid  ,RW,87,Left-footed shot,
1035,Messi,LaLiga,Group Stage,2015-01-18,A,Dep. La Coruña  ,RW,11,Header,Ivan Rakitic
1038,Messi,Copa del Rey,Quarter-Finals,2015-01-21,H,Atlético Madrid,RW ,85,Penalty rebound,
1039,Messi,LaLiga,Group Stage,2015-01-24,A,Elche CF  ,CF,55,Penalty,
1041,Messi,LaLiga,Group Stage,2015-02-01,H,Villarreal  ,RW,55,Right-footed shot,Luis Suárez
1042,Messi,LaLiga,Group Stage,2015-02-08,A,Athletic  ,RW,15,Direct free kick,
1043,Messi,Copa del Rey,Semi-Finals,2015-02-11,H,Villarreal,RW,41,Left-footed shot,Luis Suárez
1044,Messi,LaLiga,Group Stage,2015-02-15,H,Levante  ,CF,38,Right-footed shot,Marc Bartra
1047,Messi,LaLiga,Group Stage,2015-02-28,A,Granada CF  ,RW,70,Right-footed shot,Luis Suárez
1048,Messi,LaLiga,Group Stage,2015-03-08,H,Rayo Vallecano  ,RW,56,Penalty,
1051,Messi,LaLiga,Group Stage,2015-03-14,A,SD Eibar  ,RW ,31,Penalty,
1053,Messi,LaLiga,Group Stage,2015-04-08,H,UD Almería  ,RW,33,Left-footed shot,Marc Bartra
1054,Messi,LaLiga,Group Stage,2015-04-11,A,Sevilla FC  ,RW,15,Left-footed shot,Neymar
1055,Messi,LaLiga,Group Stage,2015-04-18,H,Valencia  ,RW,94,Left-footed shot,
1056,Messi,LaLiga,Group Stage,2015-04-25,A,Espanyol  ,RW,25,Left-footed shot,Luis Suárez
1057,Messi,LaLiga,Group Stage,2015-04-28,H,Getafe  ,RW,9,Penalty,
1059,Messi,LaLiga,Group Stage,2015-05-02,A,Córdoba CF  ,RW,47,Header,Dani Alves
1061,Messi,Champions League,Semi-Finals,2015-05-06,H,Bayern Munich ,RW,77,Left-footed shot,Dani Alves
1063,Messi,LaLiga,Group Stage,2015-05-17,A,Atlético Madrid  ,RW,65,Left-footed shot,Pedro
1064,Messi,LaLiga,Group Stage,2015-05-23,H,Dep. La Coruña  ,RW,5,Header,Rafinha
1066,Messi,Copa del Rey,Final,2015-05-30,A,Athletic,RW,20,Solo run,
1068,Messi,UEFA Super Cup,Final,2015-08-11,H,Sevilla FC,RW,7,Direct free kick,
1070,Messi,Supercopa,Final,2015-08-17,H,Athletic,RW,43,Left-footed shot,Luis Suárez
1071,Messi,LaLiga,Group Stage,2015-09-12,A,Atlético Madrid  ,RW,77,Left-footed shot,Luis Suárez
1072,Messi,LaLiga,Group Stage,2015-09-20,H,Levante  ,AM ,61,Penalty,
1074,Messi,Champions League,Group Stage,2015-11-24,H,AS Roma,RW ,18,Left-footed shot,Luis Suárez
1076,Messi,LaLiga,Group Stage,2015-11-28,H,Real Sociedad  ,RW,91,Left-footed shot,Neymar
1077,Messi,Champions League,Group Stage,2015-12-09,A,Bay. Leverkusen,CF ,20,Right-footed shot,Ivan Rakitic
1078,Messi,LaLiga,Group Stage,2015-12-12,H,Dep. La Coruña  ,RW,39,Direct free kick,
1079,Messi,Club World Cup,Final,2015-12-20,A,River Plate,RW,36,Left-footed shot,Neymar
1080,Messi,LaLiga,Group Stage,2015-12-30,H,Real Betis  ,RW ,33,Right-footed shot,Neymar
1081,Messi,Copa del Rey,Round of 16,2016-01-06,H,Espanyol,RW,13,Left-footed shot,Andrés Iniesta
1083,Messi,LaLiga,Group Stage,2016-01-09,H,Granada CF  ,RW ,8,Left-footed shot,Arda Turan
1086,Messi,LaLiga,Group Stage,2016-01-17,H,Athletic  ,RW,7,Penalty,
1087,Messi,LaLiga,Group Stage,2016-01-23,A,Málaga CF  ,RW,51,Left-footed shot,Adriano
1088,Messi,LaLiga,Group Stage,2016-01-30,H,Atlético Madrid  ,RW,30,Left-footed shot,Jordi Alba
1089,Messi,Copa del Rey,Semi-Finals,2016-02-03,H,Valencia,RW,29,Left-footed shot,Neymar
1092,Messi,LaLiga,Group Stage,2016-02-14,H,Celta de Vigo  ,RW,28,Direct free kick,
1093,Messi,LaLiga,Group Stage,2016-02-17,A,Sporting Gijón  ,RW ,25,Left-footed shot,Luis Suárez
1095,Messi,Champions League,Round of 16,2016-02-23,A,Arsenal,RW,71,Left-footed shot,Neymar
1097,Messi,LaLiga,Group Stage,2016-02-28,H,Sevilla FC  ,RW ,31,Direct free kick,
1098,Messi,LaLiga,Group Stage,2016-03-03,A,Rayo Vallecano  ,RW,23,Left-footed shot,Neymar
1101,Messi,LaLiga,Group Stage,2016-03-06,A,SD Eibar  ,RW ,42,Left-footed shot,Munir El Haddadi
1103,Messi,LaLiga,Group Stage,2016-03-12,H,Getafe  ,CF,41,Left-footed shot,Arda Turan
1104,Messi,Champions League,Round of 16,2016-03-16,H,Arsenal,RW,86,Left-footed shot,Neymar
1105,Messi,LaLiga,Group Stage,2016-04-17,H,Valencia  ,RW,63,Left-footed shot,Jordi Alba
1106,Messi,LaLiga,Group Stage,2016-04-20,A,Dep. La Coruña  ,RW,73,Left-footed shot,Luis Suárez
